level,unit,unitTitle,moduleId,moduleTitle,topics,id,lemma,pos,gender,plural,en,example,forms,aux,separable,reflexive,prep,case,comparative,superlative,rank,note,audio
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,name,Name,noun,der,Namen,name,Mein Name ist Ana.,,,,,,,,,440,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,vorname,Vorname,noun,der,Vornamen,first name,Bitte schreiben Sie hier Ihren Vornamen.,,,,,,,,,8371,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,nachname,Nachname,noun,der,Nachnamen,"surname, last name",Mein Nachname ist schwer zu schreiben.,,,,,,,,,8754,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,adresse,Adresse,noun,die,Adressen,address,Wie ist deine Adresse?,,,,,,,,,1450,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,strasse,Straße,noun,die,Straßen,street,Ich wohne in der Goethestraße.,,,,,,,,,732,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,stadt,Stadt,noun,die,Städte,"city, town",München ist eine große Stadt.,,,,,,,,,369,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,land,Land,noun,das,Länder,country,Aus welchem Land kommst du?,,,,,,,,,512,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,telefonnummer,Telefonnummer,noun,die,Telefonnummern,phone number,Gib mir bitte deine Telefonnummer.,,,,,,,,,4812,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,alter,Alter,noun,das,,age,Wie ist Ihr Alter?,,,,,,,,,508,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,geburtstag,Geburtstag,noun,der,Geburtstage,birthday,Mein Geburtstag ist im Mai.,,,,,,,,,1192,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,beruf,Beruf,noun,der,Berufe,"job, profession",Was sind Sie von Beruf?,,,,,,,,,2437,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,sprache,Sprache,noun,die,Sprachen,language,Ich lerne drei Sprachen.,,,,,,,,,1979,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,herr,Herr,noun,der,Herren,"Mr, gentleman","Guten Tag, Herr Müller!",,,,,,,,,300,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,frau,Frau,noun,die,Frauen,"woman, Mrs",Die Frau dort ist meine Lehrerin.,,,,,,,,,153,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,mann,Mann,noun,der,Männer,man,Der Mann am Fenster liest eine Zeitung.,,,,,,,,,102,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,person,Person,noun,die,Personen,person,Wir sind vier Personen.,,,,,,,,,835,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,heissen,heißen,verb,,,to be called,Wie heißt du?,heißt|hieß|geheißen,haben,,,,,,,810,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,kommen,kommen,verb,,,to come,Ich komme aus der Türkei.,kommt|kam|gekommen,sein,,,,,,,140,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,wohnen,wohnen,verb,,,"to live, to reside",Wir wohnen in Berlin.,wohnt|wohnte|gewohnt,haben,,,,,,,1295,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,sprechen,sprechen,verb,,,to speak,Sprechen Sie Deutsch?,spricht|sprach|gesprochen,haben,,,,,,,318,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,sein,sein,verb,,,to be,Ich bin müde.,ist|war|gewesen,sein,,,,,,,56,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,haben,haben,verb,,,to have,Hast du Zeit?,hat|hatte|gehabt,haben,,,,,,,30,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,alt,alt,adj,,,old,Wie alt bist du?,,,,,,,älter,am ältesten,599,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,jung,jung,adj,,,young,Meine Schwester ist noch jung.,,,,,,,jünger,am jüngsten,1171,,
A1,a1-01,Person & Vorstellung,a1-m1,Ich & die Anderen,person,verheiratet,verheiratet,adj,,,married,Sind Sie verheiratet?,,,,,,,,,970,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,familie,Familie,noun,die,Familien,family,Meine Familie wohnt in Izmir.,,,,,,,,,303,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,eltern,Eltern,noun,,,parents,Meine Eltern besuchen mich im Sommer.,,,,,,,,,593,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,mutter,Mutter,noun,die,Mütter,mother,Meine Mutter kocht sehr gut.,,,,,,,,,197,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,vater,Vater,noun,der,Väter,father,Mein Vater arbeitet bei der Post.,,,,,,,,,178,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,kind,Kind,noun,das,Kinder,child,Das Kind spielt im Garten.,,,,,,,,,336,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,sohn,Sohn,noun,der,Söhne,son,Ihr Sohn geht schon zur Schule.,,,,,,,,,311,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,tochter,Tochter,noun,die,Töchter,daughter,Meine Tochter ist sieben Jahre alt.,,,,,,,,,429,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,bruder,Bruder,noun,der,Brüder,brother,Mein Bruder wohnt in Hamburg.,,,,,,,,,341,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,schwester,Schwester,noun,die,Schwestern,sister,Ich habe zwei Schwestern.,,,,,,,,,432,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,geschwister,Geschwister,noun,,,siblings,Hast du Geschwister?,,,,,,,,,7036,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,grossmutter,Großmutter,noun,die,Großmütter,grandmother,Meine Großmutter ist 82 Jahre alt.,,,,,,,,,1971,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,grossvater,Großvater,noun,der,Großväter,grandfather,Mein Großvater erzählt gern Geschichten.,,,,,,,,,1780,,
